SOURCE_ID;PAYMENT_METHOD_TYPE;TRANSACTION_TYPE;TRANSACTION_AMOUNT;TRANSACTION_DATE;FEE_AMOUNT;SETTLEMENT_DATE;REAL_AMOUNT;TAXES_AMOUNT;BUSINESS_UNIT;SUB_UNIT;MONEY_RELEASE_DATE
132079209492;credit_card;SETTLEMENT;32232.51;2025-11-01T10:31:07.000-03:00;-11702.46;2025-11-01T10:31:17.000-03:00;20046.56;-483.49;Mercado Libre; ;2025-11-29T10:31:11.000-03:00
132100968732;bank_transfer;SETTLEMENT;27490.99;2025-11-01T13:08:12.000-03:00;-12175.85;2025-11-01T13:08:33.000-03:00;15315.14;0.00;Mercado Libre; ;2025-11-29T13:08:23.000-03:00
132112234356;credit_card;SETTLEMENT;40308.69;2025-11-01T14:38:39.000-03:00;-23765.28;2025-11-01T14:38:50.000-03:00;16543.41;0.00;Mercado Libre; ;2025-11-29T14:38:41.000-03:00
132124355848;available_money;SETTLEMENT_SHIPPING;9832.79;2025-11-01T16:32:27.000-03:00;0.00;2025-11-01T16:32:34.000-03:00;9685.30;-147.49;Mercado Libre; ;2025-11-29T16:32:27.000-03:00
132124363662;available_money;SETTLEMENT;13436.80;2025-11-01T16:32:27.000-03:00;-3278.11;2025-11-01T16:32:35.000-03:00;124.35;-201.55;Mercado Libre; ;2025-11-29T16:32:27.000-03:00
131540947893;debit_card;SETTLEMENT;17320.87;2025-11-01T18:32:48.000-03:00;-5088.39;2025-11-01T18:33:00.000-03:00;11972.67;-259.81;Mercado Libre; ;2025-11-29T18:32:51.000-03:00
131558840521;available_money;SETTLEMENT;13436.80;2025-11-01T20:48:23.000-03:00;-3278.11;2025-11-01T20:48:31.000-03:00;10158.69;0.00;Mercado Libre; ;2025-11-29T20:48:23.000-03:00
131569093845;available_money;SETTLEMENT;34414.49;2025-11-01T22:18:45.000-03:00;-14324.81;2025-11-01T22:18:53.000-03:00;19573.46;-516.22;Mercado Libre; ;2025-11-29T22:18:45.000-03:00
132169581172;available_money;SETTLEMENT;30170.36;2025-11-01T22:47:36.000-03:00;-12653.34;2025-11-01T22:47:43.000-03:00;17064.46;-452.56;Mercado Libre; ;2025-11-29T22:47:36.000-03:00
132186283062;available_money;SETTLEMENT;10903.68;2025-11-02T06:45:33.000-03:00;-2870.32;2025-11-02T06:45:39.000-03:00;7869.80;-163.56;Mercado Libre; ;2025-11-30T06:45:33.000-03:00
131588570259;credit_card;SETTLEMENT;29555.26;2025-11-02T06:50:23.000-03:00;-15618.09;2025-11-02T06:50:34.000-03:00;13493.84;-443.33;Mercado Libre; ;2025-11-30T06:50:25.000-03:00
131593527181;available_money;SETTLEMENT;54587.00;2025-11-02T09:23:36.000-03:00;-14407.64;2025-11-02T09:23:45.000-03:00;39360.55;-818.81;Mercado Libre; ;2025-11-30T09:23:37.000-03:00
131593811141;available_money;SETTLEMENT;41990.00;2025-11-02T09:29:05.000-03:00;-11359.72;2025-11-02T09:29:11.000-03:00;27690.98;-2939.30;Mercado Libre; ;2025-11-30T09:29:06.000-03:00
131598437481;available_money;SETTLEMENT;34208.29;2025-11-02T10:34:41.000-03:00;-14118.61;2025-11-02T10:34:51.000-03:00;19576.56;-513.12;Mercado Libre; ;2025-11-30T10:34:41.000-03:00
132197049262;available_money;SETTLEMENT;33343.37;2025-11-02T10:42:42.000-03:00;-10750.75;2025-11-02T10:42:51.000-03:00;22092.47;-500.15;Mercado Libre; ;2025-11-30T10:42:42.000-03:00
131613703365;digital_currency;SETTLEMENT;30139.27;2025-11-02T13:03:33.000-03:00;-11582.95;2025-11-02T13:03:45.000-03:00;18104.23;-452.09;Mercado Libre; ;2025-11-30T13:03:34.000-03:00
132211953552;available_money;SETTLEMENT;55636.74;2025-11-02T13:06:03.000-03:00;-14013.20;2025-11-02T13:06:10.000-03:00;37288.99;-834.55;Mercado Libre; ;2025-11-30T13:06:04.000-03:00
132214271144;available_money;SETTLEMENT;33343.37;2025-11-02T13:27:38.000-03:00;-10750.75;2025-11-02T13:27:48.000-03:00;20258.58;-2334.04;Mercado Libre; ;2025-11-30T13:27:39.000-03:00
131626928945;available_money;SETTLEMENT;17320.87;2025-11-02T15:33:49.000-03:00;-5088.39;2025-11-02T15:34:03.000-03:00;11972.67;-259.81;Mercado Libre; ;2025-11-30T15:33:50.000-03:00
131626928945;available_money;REFUND;-17320.87;2025-11-02T15:33:49.000-03:00;5088.39;2025-11-02T17:30:58.000-03:00;-11972.67;259.81;Mercado Libre; ;2025-11-02T17:30:57.000-03:00
131636201329;available_money;SETTLEMENT;17320.87;2025-11-02T17:31:40.000-03:00;-5088.39;2025-11-02T17:31:54.000-03:00;11972.67;-259.81;Mercado Libre; ;2025-11-30T17:31:41.000-03:00
131639060489;credit_card;SETTLEMENT;35290.76;2025-11-02T18:07:13.000-03:00;-14760.71;2025-11-02T18:07:26.000-03:00;20000.69;-529.36;Mercado Libre; ;2025-11-30T18:07:15.000-03:00
132250615150;debit_card;SETTLEMENT;36667.67;2025-11-02T20:27:21.000-03:00;-19393.59;2025-11-02T20:28:06.000-03:00;17274.08;0.00;Mercado Libre; ;2025-11-30T20:27:24.000-03:00
132258272004;available_money;SETTLEMENT;35563.96;2025-11-02T21:48:44.000-03:00;-19020.55;2025-11-02T21:48:56.000-03:00;16009.95;-533.46;Mercado Libre; ;2025-11-30T21:48:44.000-03:00
131671060559;credit_card;SETTLEMENT;20762.30;2025-11-03T00:49:03.000-03:00;-13184.16;2025-11-03T00:49:19.000-03:00;7266.71;-311.43;Mercado Libre; ;2025-12-01T00:49:06.000-03:00
132269693764;available_money;SETTLEMENT;12177.10;2025-11-03T01:03:10.000-03:00;-3075.32;2025-11-03T01:03:18.000-03:00;9101.78;0.00;Mercado Libre; ;2025-12-01T01:03:11.000-03:00
132270073076;available_money;SETTLEMENT;15455.55;2025-11-03T01:10:13.000-03:00;-4788.10;2025-11-03T01:10:58.000-03:00;10435.62;-231.83;Mercado Libre; ;2025-12-01T01:10:14.000-03:00
132274655766;credit_card;SETTLEMENT;30655.19;2025-11-03T03:25:41.000-03:00;-12521.63;2025-11-03T03:25:52.000-03:00;18133.56;0.00;Mercado Libre; ;2025-12-01T03:25:45.000-03:00
1735669038406; ;SETTLEMENT;44.49;2025-11-03T05:01:44.000-03:00;0.00;2025-11-03T05:01:44.000-03:00;44.49;0.00;;;
132279801442;available_money;SETTLEMENT;51321.30;2025-11-03T05:10:13.000-03:00;-15161.91;2025-11-03T05:10:20.000-03:00;36159.39;0.00;Mercado Libre; ;2025-12-01T05:10:14.000-03:00
131702640525;available_money;SETTLEMENT;21441.01;2025-11-03T09:43:22.000-03:00;-12076.69;2025-11-03T09:43:28.000-03:00;9042.70;-321.62;Mercado Libre; ;2025-12-01T09:43:23.000-03:00
132302471176;available_money;SETTLEMENT;25823.34;2025-11-03T09:55:49.000-03:00;-6387.16;2025-11-03T09:55:56.000-03:00;19436.18;0.00;Mercado Libre; ;2025-12-01T09:55:50.000-03:00
132304597046;available_money;SETTLEMENT;30600.19;2025-11-03T10:12:42.000-03:00;-12466.63;2025-11-03T10:12:49.000-03:00;18133.56;0.00;Mercado Libre; ;2025-12-01T10:12:43.000-03:00
131712737585;available_money;SETTLEMENT;89257.65;2025-11-03T11:05:50.000-03:00;-22799.07;2025-11-03T11:06:02.000-03:00;65119.72;-1338.86;Mercado Libre; ;2025-12-01T11:05:51.000-03:00
131713966463;available_money;SETTLEMENT;57858.48;2025-11-03T11:13:10.000-03:00;-14934.30;2025-11-03T11:13:19.000-03:00;42056.30;-867.88;Mercado Libre; ;2025-12-01T11:13:11.000-03:00
132314691364;available_money;SETTLEMENT;48708.40;2025-11-03T11:31:21.000-03:00;-12301.28;2025-11-03T11:31:33.000-03:00;35676.49;-730.63;Mercado Libre; ;2025-12-01T11:31:22.000-03:00
131716456765;credit_card;SETTLEMENT;46391.30;2025-11-03T11:32:49.000-03:00;-12851.26;2025-11-03T11:32:59.000-03:00;32844.17;-695.87;Mercado Libre; ;2025-12-01T11:32:50.000-03:00
131727162081;available_money;SETTLEMENT;33177.49;2025-11-03T12:50:51.000-03:00;-11024.63;2025-11-03T12:51:03.000-03:00;22152.86;0.00;Mercado Libre; ;2025-12-01T12:50:52.000-03:00
132336930334;available_money;SETTLEMENT;17693.77;2025-11-03T14:20:45.000-03:00;-5148.42;2025-11-03T14:20:57.000-03:00;12279.94;-265.41;Mercado Libre; ;2025-12-01T14:20:45.000-03:00
132336703734;debit_card;SETTLEMENT;37561.67;2025-11-03T14:20:48.000-03:00;-11869.83;2025-11-03T14:21:01.000-03:00;25128.41;-563.43;Mercado Libre; ;2025-12-01T14:20:51.000-03:00
131741378673;prepaid_card;SETTLEMENT;31713.54;2025-11-03T14:47:40.000-03:00;-13187.03;2025-11-03T14:47:51.000-03:00;18050.81;-475.70;Mercado Libre; ;2025-12-01T14:47:42.000-03:00
132342994082;available_money;SETTLEMENT;30655.19;2025-11-03T15:18:38.000-03:00;-12521.63;2025-11-03T15:18:45.000-03:00;17673.73;-459.83;Mercado Libre; ;2025-12-01T15:18:39.000-03:00
